ExpenseID,Date,Department,Category,Amount,Description
EXP100001,01/01/2025,Admin,Office Supplies,7275.1,General office supplies
EXP100002,01/01/2025,Sales,Training,21402.5,Professional development training
EXP100003,01/01/2025,Admin,Travel,11812.5,Domestic travel cost
EXP100004,01/01/2025,Admin,Consulting,47509.35,Consultancy fee
EXP100005,01/01/2025,Admin,Office Supplies,8165.5,Stationery purchase
EXP100006,01/01/2025,Admin,Office Supplies,5230.75,Printer ink and paper
EXP100007,01/01/2025,Sales,Salaries,73829.7,Monthly salary payment
EXP100008,01/01/2025,Marketing,Salaries,94966.55,Monthly salary payment
EXP100009,01/01/2025,Finance,Office Supplies,6422.15,Office furniture acquisition
EXP100010,01/01/2025,Sales,Salaries,86025.8,Overtime payment
EXP100011,01/01/2025,IT,Training,27102.25,Workshop expense
EXP100012,01/01/2025,Sales,Consulting,31623.55,Consultancy fee
EXP100013,01/01/2025,Finance,Travel,20767.95,Domestic travel cost
EXP100014,01/01/2025,Marketing,Travel,16593.15,Business trip expense
EXP100015,01/01/2025,HR,Office Supplies,7409.15,Stationery purchase
EXP100016,01/01/2025,HR,Travel,13376.3,Domestic travel cost
EXP100017,01/01/2025,HR,Office Supplies,8514.1,Printer ink and paper
EXP100018,02/01/2025,HR,Training,26483.45,Employee training session
EXP100019,02/01/2025,HR,Travel,17089.8,Domestic travel cost
EXP100020,02/01/2025,Marketing,Office Supplies,4463.2,Printer ink and paper
EXP100021,02/01/2025,Marketing,Consulting,46856.95,Consulting project expense
EXP100022,02/01/2025,Finance,Salaries,95940.25,Overtime payment
EXP100023,02/01/2025,Finance,Consulting,57305.15,Advisory service payment
EXP100024,02/01/2025,Admin,Consulting,48671,Consultancy fee
EXP100025,02/01/2025,HR,Office Supplies,9161.6,General office supplies
EXP100026,02/01/2025,HR,Travel,34111.35,International travel expense
EXP100027,02/01/2025,Operations,Utilities,7688.45,Internet service payment
EXP100028,02/01/2025,Finance,Travel,21883.05,Client visit travel
EXP100029,02/01/2025,Admin,Salaries,107818.2,Monthly salary payment
EXP100030,02/01/2025,Finance,Salaries,102127.55,Bonus disbursement
EXP100031,02/01/2025,HR,Training,16453.5,Workshop expense
EXP100032,02/01/2025,Finance,Consulting,80123.4,External consultant fee
EXP100033,02/01/2025,HR,Salaries,126161.7,Bonus disbursement
EXP100034,02/01/2025,IT,Office Supplies,7703.15,Printer ink and paper
EXP100035,02/01/2025,Finance,Office Supplies,4848.2,Office furniture acquisition
EXP100036,02/01/2025,Finance,Travel,14786.45,Domestic travel cost
EXP100037,02/01/2025,IT,Consulting,30127.3,Consultancy fee
EXP100038,03/01/2025,Operations,Consulting,44115.05,Consultancy fee
EXP100039,03/01/2025,Admin,Salaries,96325.25,Overtime payment
EXP100040,03/01/2025,Marketing,Training,28484.4,Online course fee
EXP100041,03/01/2025,Operations,Utilities,20037.85,Electricity bill
EXP100042,03/01/2025,HR,Training,22009.75,Professional development training
EXP100043,03/01/2025,Sales,Office Supplies,8647.1,General office supplies
EXP100044,03/01/2025,Operations,Salaries,114639.35,Monthly salary payment
EXP100045,03/01/2025,HR,Office Supplies,4429.25,Stationery purchase
EXP100046,03/01/2025,Marketing,Office Supplies,7754.95,Stationery purchase
EXP100047,03/01/2025,Marketing,Salaries,85543.85,Bonus disbursement
EXP100048,03/01/2025,IT,Salaries,133008.75,Overtime payment
EXP100049,03/01/2025,IT,Software,28404.95,Software license fee
EXP100050,03/01/2025,HR,Travel,16091.95,Business trip expense
EXP100051,03/01/2025,Marketing,Marketing,30183.65,Branding and outreach
EXP100052,03/01/2025,Finance,Consulting,48158.6,Advisory service payment
EXP100053,03/01/2025,Finance,Office Supplies,5254.9,Office furniture acquisition
EXP100054,04/01/2025,Operations,Salaries,108351.6,Bonus disbursement
EXP100055,04/01/2025,Sales,Salaries,87215.8,Overtime payment
EXP100056,04/01/2025,Finance,Consulting,52792.25,External consultant fee
EXP100057,04/01/2025,IT,Software,33212.2,Software license fee
EXP100058,04/01/2025,Operations,Consulting,64534.4,External consultant fee
EXP100059,04/01/2025,HR,Office Supplies,7372.05,Stationery purchase
EXP100060,04/01/2025,Sales,Travel,15254.75,International travel expense
EXP100061,04/01/2025,Operations,Salaries,109240.25,Salary adjustment expense
EXP100062,04/01/2025,Marketing,Training,17087.7,Online course fee
EXP100063,04/01/2025,Admin,Travel,23160.55,Client visit travel
EXP100064,04/01/2025,Sales,Consulting,41927.9,Advisory service payment
EXP100065,04/01/2025,Operations,Salaries,96043.5,Overtime payment
EXP100066,04/01/2025,Operations,Consulting,60048.45,Advisory service payment
EXP100067,04/01/2025,Sales,Training,21981.4,Professional development training
EXP100068,04/01/2025,Finance,Salaries,121880.5,Salary adjustment expense
EXP100069,04/01/2025,Sales,Travel,7828.1,Business trip expense
EXP100070,04/01/2025,IT,Software,31250.8,Cloud subscription cost
EXP100071,04/01/2025,Operations,Consulting,45469.2,Advisory service payment
EXP100072,05/01/2025,Finance,Consulting,59557.4,Advisory service payment
EXP100073,05/01/2025,Marketing,Salaries,81456.2,Salary adjustment expense
EXP100074,05/01/2025,Marketing,Training,27241.2,Online course fee
EXP100075,05/01/2025,Sales,Salaries,131864.95,Overtime payment
EXP100076,05/01/2025,IT,Software,30880.15,Renewal of software license
EXP100077,05/01/2025,Sales,Salaries,86028.6,Overtime payment
EXP100078,05/01/2025,Operations,Consulting,63800.45,Consulting project expense
EXP100079,05/01/2025,Operations,Consulting,37006.2,Advisory service payment
EXP100080,05/01/2025,Finance,Office Supplies,6491.8,Printer ink and paper
EXP100081,05/01/2025,Admin,Travel,11618.95,Business trip expense
EXP100082,05/01/2025,HR,Office Supplies,5153.05,Stationery purchase
EXP100083,05/01/2025,Sales,Salaries,104616.75,Monthly salary payment
EXP100084,05/01/2025,IT,Utilities,15592.15,Utility service cost
EXP100085,05/01/2025,Marketing,Consulting,55050.45,Consulting project expense
EXP100086,05/01/2025,Admin,Office Supplies,7795.9,Printer ink and paper
EXP100087,06/01/2025,Marketing,Office Supplies,4523.4,Office furniture acquisition
EXP100088,06/01/2025,Finance,Salaries,97484.45,Overtime payment
EXP100089,06/01/2025,HR,Travel,20653.15,Client visit travel
EXP100090,06/01/2025,Finance,Office Supplies,3621.1,Stationery purchase
EXP100091,06/01/2025,Marketing,Consulting,23653.7,Consultancy fee
EXP100092,06/01/2025,Sales,Office Supplies,6980.05,Stationery purchase
EXP100093,06/01/2025,HR,Salaries,102770.5,Overtime payment
EXP100094,06/01/2025,Finance,Travel,6725.25,International travel expense
EXP100095,07/01/2025,Marketing,Office Supplies,7022.75,Stationery purchase
EXP100096,07/01/2025,HR,Consulting,29123.15,Advisory service payment
EXP100097,07/01/2025,Sales,Salaries,104271.65,Overtime payment
EXP100098,07/01/2025,Sales,Office Supplies,6996.5,Office furniture acquisition
EXP100099,07/01/2025,Marketing,Training,23581.6,Workshop expense
EXP100100,07/01/2025,IT,Salaries,122313.8,Bonus disbursement
EXP100101,07/01/2025,Marketing,Office Supplies,6240.5,Office furniture acquisition
EXP100102,07/01/2025,Sales,Salaries,86137.1,Overtime payment
EXP100103,07/01/2025,Operations,Travel,33834.15,Business trip expense
EXP100104,07/01/2025,Marketing,Office Supplies,5234.6,Stationery purchase
EXP100105,07/01/2025,Sales,Travel,16791.6,International travel expense
EXP100106,07/01/2025,Admin,Consulting,59309.25,Consultancy fee
EXP100107,07/01/2025,Admin,Salaries,101455.9,Bonus disbursement
EXP100108,07/01/2025,Finance,Travel,30272.2,Domestic travel cost
EXP100109,07/01/2025,Marketing,Marketing,40297.95,Advertising cost
EXP100110,07/01/2025,Operations,Office Supplies,8435.7,Printer ink and paper
EXP100111,07/01/2025,Operations,Office Supplies,5489.4,Printer ink and paper
